body,body_attempts,clinch,clinch_attempts,date,details,distance,distance_attempts,fight_id,ground,ground_attempts,head,head_attempts,kd,leg,leg_attempts,location,method,name,pass,referee,reversals,round,round_time,sig_attempts,sig_strikes,strike_attempts,strikes,sub_attempts,takedowns,td_attempts,time_format,title,weight_class,win/loss
6,8,11,13,"July 14, 2018",Punch to Head On Ground,6,15,400,7,9,18,28,1,0,1,"Boise, Idaho, USA",KO/TKO,Sage Northcutt,1,Jason Herzog,0,2,3:13,37,24,50,37,1,1,1,3 Rnd (5-5-5),UFC Fight Night: Dos Santos vs. Ivanov,Welterweight Bout,W
1,2,1,2,"July 14, 2018",Punch to Head On Ground,1,2,400,4,12,5,14,1,0,0,"Boise, Idaho, USA",KO/TKO,Zak Ottow,6,Jason Herzog,0,2,3:13,16,6,47,33,1,1,4,3 Rnd (5-5-5),UFC Fight Night: Dos Santos vs. Ivanov,Welterweight Bout,L
13,22,5,5,"July 14, 2018",Tony Weeks 28 - 29. Mike Mikkelsen 27 - 30. Tim Turner 29 - 28.,29,95,401,8,14,25,87,0,4,5,"Boise, Idaho, USA",Decision - Split,Dennis Bermudez,1,Tom Supnet,0,3,5:00,114,42,132,56,0,6,14,3 Rnd (5-5-5),UFC Fight Night: Dos Santos vs. Ivanov,Featherweight Bout,L
13,20,2,5,"July 14, 2018",Tony Weeks 28 - 29. Mike Mikkelsen 27 - 30. Tim Turner 29 - 28.,41,126,401,5,6,32,110,0,3,7,"Boise, Idaho, USA",Decision - Split,Rick Glenn,0,Tom Supnet,0,3,5:00,137,48,151,59,1,0,0,3 Rnd (5-5-5),UFC Fight Night: Dos Santos vs. Ivanov,Featherweight Bout,W
3,4,4,7,"July 14, 2018",Punch to Head From Bottom,7,22,402,2,8,9,29,0,1,4,"Boise, Idaho, USA",KO/TKO,Randy Brown,1,Herb Dean,0,2,1:09,37,13,43,18,0,1,2,3 Rnd (5-5-5),UFC Fight Night: Dos Santos vs. Ivanov,Welterweight Bout,L
1,3,1,4,"July 14, 2018",Punch to Head From Bottom,2,23,402,9,12,9,33,0,2,3,"Boise, Idaho, USA",KO/TKO,Niko Price,0,Herb Dean,1,2,1:09,39,12,81,40,0,1,2,3 Rnd (5-5-5),UFC Fight Night: Dos Santos vs. Ivanov,Welterweight Bout,W
1,1,0,0,"July 14, 2018",Punch to Head At Distance,3,12,403,0,0,0,6,0,2,5,"Boise, Idaho, USA",KO/TKO,Myles Jury,0,Jason Herzog,0,1,2:52,12,3,12,3,0,0,0,3 Rnd (5-5-5),UFC Fight Night: Dos Santos vs. Ivanov,Featherweight Bout,L
0,0,0,0,"July 14, 2018",Punch to Head At Distance,2,5,403,15,22,16,24,1,1,3,"Boise, Idaho, USA",KO/TKO,Chad Mendes,0,Jason Herzog,0,1,2:52,27,17,27,17,0,0,0,3 Rnd (5-5-5),UFC Fight Night: Dos Santos vs. Ivanov,Featherweight Bout,W
10,13,8,9,"July 14, 2018",Tony Weeks 30 - 26. Tim Turner 30 - 27. Dave Hagen 30 - 27.,12,23,404,13,25,14,32,0,9,12,"Boise, Idaho, USA",Decision - Unanimous,Cat Zingano,2,Rulon Day,0,3,5:00,57,33,123,94,0,6,10,3 Rnd (5-5-5),UFC Fight Night: Dos Santos vs. Ivanov,Women's Bantamweight Bout,W
3,4,6,6,"July 14, 2018",Tony Weeks 30 - 26. Tim Turner 30 - 27. Dave Hagen 30 - 27.,8,33,404,0,0,10,34,0,1,1,"Boise, Idaho, USA",Decision - Unanimous,Marion Reneau,0,Rulon Day,0,3,5:00,39,14,62,35,0,0,0,3 Rnd (5-5-5),UFC Fight Night: Dos Santos vs. Ivanov,Women's Bantamweight Bout,L
20,43,1,1,"July 14, 2018",Mike Mikkelsen 28 - 29. Tony Weeks 28 - 29. Dave Hagen 28 - 29.,47,181,405,0,1,23,135,0,5,5,"Boise, Idaho, USA",Decision - Unanimous,Eddie Wineland,0,Tom Supnet,0,3,5:00,183,48,183,48,0,0,0,3 Rnd (5-5-5),UFC Fight Night: Dos Santos vs. Ivanov,Bantamweight Bout,L
4,7,1,2,"July 14, 2018",Mike Mikkelsen 28 - 29. Tony Weeks 28 - 29. Dave Hagen 28 - 29.,52,212,405,0,0,40,197,0,9,10,"Boise, Idaho, USA",Decision - Unanimous,Alejandro Perez,0,Tom Supnet,0,3,5:00,214,53,214,53,0,0,2,3 Rnd (5-5-5),UFC Fight Night: Dos Santos vs. Ivanov,Bantamweight Bout,W
