body,body_attempts,clinch,clinch_attempts,date,details,distance,distance_attempts,fight_id,ground,ground_attempts,head,head_attempts,kd,leg,leg_attempts,location,method,name,pass,referee,reversals,round,round_time,sig_attempts,sig_strikes,strike_attempts,strikes,sub_attempts,takedowns,td_attempts,time_format,title,weight_class,win/loss
7,8,10,20,"September 16, 2017",Punches to Head At Distance,52,108,800,3,6,26,90,0,32,36,"Pittsburgh, Pennsylvania, USA",KO/TKO,Hector Lombard,0,Dan Miragliotta,0,3,2:33,134,65,137,68,0,1,2,3 Rnd (5-5-5),UFC Fight Night: Rockhold vs. Branch,Middleweight Bout,L
6,10,6,9,"September 16, 2017",Punches to Head At Distance,27,101,800,2,5,27,102,1,2,3,"Pittsburgh, Pennsylvania, USA",KO/TKO,Anthony Smith,0,Dan Miragliotta,0,3,2:33,115,35,118,38,0,0,1,3 Rnd (5-5-5),UFC Fight Night: Rockhold vs. Branch,Middleweight Bout,W
1,3,1,6,"September 16, 2017",Arm Triangle From Mount,12,34,801,7,16,19,53,1,0,0,"Pittsburgh, Pennsylvania, USA",Submission,Gregor Gillespie,6,Rob Hinds,0,2,2:11,56,20,73,34,1,4,6,3 Rnd (5-5-5),UFC Fight Night: Rockhold vs. Branch,Lightweight Bout,W
5,7,5,5,"September 16, 2017",Arm Triangle From Mount,16,36,801,1,2,17,36,0,0,0,"Pittsburgh, Pennsylvania, USA",Submission,Jason Gonzalez,0,Rob Hinds,0,2,2:11,43,22,50,27,0,0,0,3 Rnd (5-5-5),UFC Fight Night: Rockhold vs. Branch,Lightweight Bout,L
4,6,0,0,"September 16, 2017",Punch to Head At Distance,15,46,802,1,2,8,35,1,4,7,"Pittsburgh, Pennsylvania, USA",KO/TKO,Kamaru Usman,0,Dan Miragliotta,0,1,2:48,48,16,48,16,0,0,0,3 Rnd (5-5-5),UFC Fight Night: Rockhold vs. Branch,Welterweight Bout,W
3,3,0,0,"September 16, 2017",Punch to Head At Distance,13,27,802,0,0,10,23,0,0,1,"Pittsburgh, Pennsylvania, USA",KO/TKO,Sergio Moraes,0,Dan Miragliotta,0,1,2:48,27,13,27,13,0,0,0,3 Rnd (5-5-5),UFC Fight Night: Rockhold vs. Branch,Welterweight Bout,L
1,2,0,0,"September 16, 2017",Cardo Urso 29 - 28. David Brogan 29 - 28. Eric Colon 28 - 29.,36,126,803,0,0,35,124,0,0,0,"Pittsburgh, Pennsylvania, USA",Decision - Split,Justin Ledet,0,Keith Peterson,0,3,5:00,126,36,126,36,0,0,0,3 Rnd (5-5-5),UFC Fight Night: Rockhold vs. Branch,Heavyweight Bout,W
9,24,1,2,"September 16, 2017",Cardo Urso 29 - 28. David Brogan 29 - 28. Eric Colon 28 - 29.,36,82,803,0,0,28,60,0,0,0,"Pittsburgh, Pennsylvania, USA",Decision - Split,Zu Anyanwu,0,Keith Peterson,0,3,5:00,84,37,84,37,0,0,0,3 Rnd (5-5-5),UFC Fight Night: Rockhold vs. Branch,Heavyweight Bout,L
1,2,2,2,"September 16, 2017",Jeff Mullen 28 - 29. Greg Monskie 28 - 29. Eric Colon 29 - 28.,9,35,804,4,4,13,37,0,1,2,"Pittsburgh, Pennsylvania, USA",Decision - Split,Anthony Rocco Martin,2,Rob Hinds,1,3,5:00,41,15,96,56,1,0,0,3 Rnd (5-5-5),UFC Fight Night: Rockhold vs. Branch,Lightweight Bout,L
3,5,3,3,"September 16, 2017",Jeff Mullen 28 - 29. Greg Monskie 28 - 29. Eric Colon 29 - 28.,10,33,804,7,10,10,33,0,7,8,"Pittsburgh, Pennsylvania, USA",Decision - Split,Olivier Aubin-Mercier,6,Rob Hinds,0,3,5:00,46,20,78,47,0,4,7,3 Rnd (5-5-5),UFC Fight Night: Rockhold vs. Branch,Lightweight Bout,W
0,0,0,0,"September 16, 2017",Punches to Head On Ground,0,1,805,0,0,0,1,0,0,0,"Pittsburgh, Pennsylvania, USA",KO/TKO,Anthony Hamilton,0,Dan Miragliotta,0,1,0:24,1,0,1,0,0,0,0,3 Rnd (5-5-5),UFC Fight Night: Rockhold vs. Branch,Heavyweight Bout,L
0,1,0,0,"September 16, 2017",Punches to Head On Ground,1,2,805,4,4,5,5,0,0,0,"Pittsburgh, Pennsylvania, USA",KO/TKO,Daniel Spitz,0,Dan Miragliotta,0,1,0:24,6,5,6,5,0,1,1,3 Rnd (5-5-5),UFC Fight Night: Rockhold vs. Branch,Heavyweight Bout,W
3,4,15,27,"September 16, 2017",Punches to Head At Distance,15,42,806,14,21,40,85,1,1,1,"Pittsburgh, Pennsylvania, USA",KO/TKO,Krzysztof Jotko,3,Rob Hinds,0,2,2:25,90,44,108,60,1,1,2,3 Rnd (5-5-5),UFC Fight Night: Rockhold vs. Branch,Middleweight Bout,L
6,7,0,0,"September 16, 2017",Punches to Head At Distance,19,33,806,7,11,15,32,1,5,5,"Pittsburgh, Pennsylvania, USA",KO/TKO,Uriah Hall,0,Rob Hinds,0,2,2:25,44,26,44,26,0,0,0,3 Rnd (5-5-5),UFC Fight Night: Rockhold vs. Branch,Middleweight Bout,W
9,14,2,3,"September 16, 2017",Punch to Head At Distance,30,84,807,3,5,11,60,0,15,18,"Pittsburgh, Pennsylvania, USA",KO/TKO,Jason Saggo,0,Keith Peterson,0,2,4:55,92,35,99,39,0,1,2,3 Rnd (5-5-5),UFC Fight Night: Rockhold vs. Branch,Lightweight Bout,L
8,10,6,10,"September 16, 2017",Punch to Head At Distance,31,78,807,5,7,27,77,1,7,8,"Pittsburgh, Pennsylvania, USA",KO/TKO,Gilbert Burns,0,Keith Peterson,0,2,4:55,95,42,104,50,0,2,3,3 Rnd (5-5-5),UFC Fight Night: Rockhold vs. Branch,Lightweight Bout,W
14,22,1,2,"September 09, 2017",David Therien 48 - 47. Tony Weeks 47 - 48. Sal D'amato 48 - 47.,85,173,808,0,1,16,65,0,56,89,"Edmonton, Alberta, Canada",Decision - Split,Amanda Nunes,2,John McCarthy,0,5,5:00,176,86,180,90,0,2,8,5 Rnd (5-5-5-5-5),UFC 215: Nunes vs Shevchenko 2,UFC Women's Bantamweight Title Bout,W
9,13,3,6,"September 09, 2017",David Therien 48 - 47. Tony Weeks 47 - 48. Sal D'amato 48 - 47.,65,183,808,4,5,30,138,0,33,43,"Edmonton, Alberta, Canada",Decision - Split,Valentina Shevchenko,0,John McCarthy,0,5,5:00,194,72,209,85,0,0,1,5 Rnd (5-5-5-5-5),UFC 215: Nunes vs Shevchenko 2,UFC Women's Bantamweight Title Bout,L
1,1,0,0,"September 09, 2017",Arm Triangle On Ground,1,5,809,0,0,0,3,0,0,1,"Edmonton, Alberta, Canada",Submission,Neil Magny,0,Yves Lavigne,0,1,3:43,5,1,9,5,0,0,0,3 Rnd (5-5-5),UFC 215: Nunes vs Shevchenko 2,Welterweight Bout,L
1,1,0,0,"September 09, 2017",Arm Triangle On Ground,1,1,809,12,15,11,14,0,1,1,"Edmonton, Alberta, Canada",Submission,Rafael Dos Anjos,3,Yves Lavigne,0,1,3:43,16,13,21,17,1,0,0,3 Rnd (5-5-5),UFC 215: Nunes vs Shevchenko 2,Welterweight Bout,W
7,8,2,3,"September 09, 2017",Punch to Head At Distance,24,41,810,8,14,24,47,1,3,3,"Edmonton, Alberta, Canada",KO/TKO,Henry Cejudo,0,Jerin Valel,0,2,0:25,58,34,64,39,0,2,2,3 Rnd (5-5-5),UFC 215: Nunes vs Shevchenko 2,Flyweight Bout,W
0,0,0,0,"September 09, 2017",Punch to Head At Distance,5,25,810,0,0,4,24,0,1,1,"Edmonton, Alberta, Canada",KO/TKO,Wilson Reis,0,Jerin Valel,0,2,0:25,25,5,25,5,0,0,1,3 Rnd (5-5-5),UFC 215: Nunes vs Shevchenko 2,Flyweight Bout,L
